指標名,薬局,,,,,,,
出典,病院なび,,,,,,,
年次,2025/3/6取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2020年度：1,315件、2021年度：1,321件、2022年度：1,323件、2023年度：1,310件、2024年度：1,336件）",,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町2-2-9 第2登栄ビル5階,35.69165,139.77150,神田登栄薬局,薬局,-
千代田区,神田三崎町２丁目,-,東京都千代田区三崎町2-17-5,35.70130,139.75317,水道橋薬局,薬局,-
千代田区,神田佐久間１丁目,-,東京都千代田区神田佐久間1-25 秋葉原鴻池ビル1階,35.69851,139.77514,トモズ 秋葉原店,薬局,-
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-4-1,35.68118,139.76377,アメリカンファーマシー 丸の内店,薬局,-
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-3-2 大手町カンファレンスセンターB1F,35.68864,139.76315,トモズ 大手町カンファレンスセンター店,薬局,-
千代田区,神田和泉町,-,東京都千代田区神田和泉町1番地 住友商事神田和泉町ビル1階,35.69980,139.77855,トモズ 神田和泉町店,薬局,-
千代田区,隼町,-,東京都千代田区隼町2-14,35.68293,139.74190,株式会社サノ・ファーマシー まゆみ薬局 半蔵門店,薬局,-
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町2-6-2,35.69191,139.77198,薬局日本メディカルシステム神田店,薬局,-
千代田区,一ツ橋１丁目,-,東京都千代田区一ツ橋一丁目1番1号 パレスサイドビル地下1階,35.69092,139.75746,薬局トモズ 竹橋パレスサイド店,薬局,-
千代田区,東神田１丁目,-,東京都千代田区東神田一丁目5番2号 黒崎ビル1階,35.69390,139.77965,神田一心薬局,薬局,-
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台二丁目1番地45 ニュー駿河台ビル1階,35.69899,139.76260,スギ薬局 御茶ノ水店,薬局,-
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町一丁目4番地 神保町1-4ビル4階,35.69621,139.76000,薬局お茶の水ファーマシー,薬局,-
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町一丁目6番地5 TX秋葉原阪急ビル アキバ・トリム地下1階,35.69790,139.77367,ウィーズファーマシー アキバ・トリム,薬局,-
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町一丁目5番2号 東宝日比谷プロムナードビル地下1階,35.67417,139.76014,有楽町薬局,薬局,-
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台一丁目8番地4 お茶の水ビル1階,35.69787,139.76253,コスモス調剤薬局 日大病院前店,薬局,-
