指標名,大使館・領事館,,,,,,,
出典,外務省,,,,,,,
年次,2025/3/9取得,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,
備考,（2020年度：159件、2021年度：159件、2022年度：154件、2023年度：152件、2024年度：155件）,,,,,,,
,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,施設名,英語名,エリア
港区,元麻布２丁目,-,東京都港区元麻布2丁目14-14,35.652628,139.730218,アルゼンチン共和国大使館,Embassy of the Argentine Republic in Japan,中南米
港区,北青山２丁目,-,東京都港区北青山2丁目11-12,35.670846,139.714513,ブラジル連邦共和国大使館,Embassy of the Federative Republic of Brazil in Japan,中南米
港区,六本木３丁目,六本木,東京都港区六本木3-15-5 六本木アシャラヒルズ・ビル1階（移転：令和4年3月3日）,35.662997,139.735864,在東京パナマ共和国総領事館,Consulate-General of the Republic of Panama in Tokyo,中南米
港区,六本木３丁目,六本木,東京都港区六本木3-15-5 六本木アシャラヒルズ・ビル2階（移転：令和4年3月3日）,35.662997,139.735864,パナマ共和国大使館,Embassy of the Republic of Panama in Japan,中南米
港区,芝公園３丁目,虎ノ門,東京都港区芝公園3-4-30 32芝公園ビル802、804号室（移転：令和5年2月20日）,35.658906,139.746402,ボリビア多民族国大使館,Embassy of the Plurinational State of Bolivia in Japan,中南米
渋谷区,広尾２丁目,-,東京都渋谷区広尾2-3-1,35.652345,139.714005,ペルー共和国大使館,Embassy of the Republic of Peru in Japan,中南米
新宿区,早稲田鶴巻町,-,東京都新宿区山吹町337 都住創山吹町ビル5階501号室 （移転：令和5年4月20日）,35.707645,139.72556,ニカラグア共和国大使館,Embassy of the Republic of Nicaragua in Japan,中南米
新宿区,早稲田鶴巻町,-,東京都新宿区山吹町337 都住創山吹町ビル5階501号室 （移転：令和5年8月3日）,35.707645,139.72556,在東京ニカラグア共和国総領事館,Consulate-General of the Republic of Nicaragua in Japan,中南米
世田谷区,野沢１丁目,-,東京都世田谷区野沢1-35-7-506,35.6382812,139.6723552,在東京セントビンセント及びグレナディーン諸島名誉領事館,Honorary Consulate of Saint Vincent and the Grenadines in Tokyo,中南米
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2丁目15-1,35.676909,139.739538,メキシコ合衆国大使館,Embassy of the United Mexican States in Japan,中南米
千代田区,五番町,-,東京都千代田区五番町10 五番町KUビル2階a室 （移転：令和4年10月31日）,35.689656,139.734727,ドミニカ共和国大使館,Embassy of the Dominican Republic in Japan,中南米
千代田区,一番町,-,東京都千代田区一番町2-2 一番町第二TGビル7階,35.688411,139.744271,パラグアイ共和国大使館,Embassy of the Republic of Paraguay in Japan,中南米
中央区,入船２丁目,-,東京都中央区入船2－7－4 政光ビル3階（移転：令和4年11月23日）,35.671937,139.778028,ベネズエラ・ボリバル共和国大使館,Embassy of the Bolivarian Republic of Venezuela in Japan,中南米
