指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：609件、2021年度：668件、2022年度：899件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
品川区,大井六丁目,-,東京都品川区大井6丁目18-36,鹿島神社,神社,35.595464,139.730326
品川区,小山五丁目,-,東京都品川区小山5-8-7,三谷八幡神社,神社,35.617254,139.702575
品川区,西品川三丁目,-,東京都品川区西品川3丁目16-31,貴船神社,神社,35.615346,139.726365
品川区,上大崎二丁目,-,東京都品川区上大崎2丁目13-36,誕生八幡神社,神社,35.634586,139.717591
品川区,二葉四丁目,-,東京都品川区二葉4-4-12,蛇窪神社,神社,35.602578,139.715691
品川区,北品川二丁目,-,東京都品川区北品川2丁目30-28,荏原神社,神社,35.617107,139.743867
品川区,旗の台三丁目,-,東京都品川区旗の台3-6-12,旗岡八幡神社,神社,35.604817,139.708170
品川区,大井一丁目,-,東京都品川区大井1-14-3,大井蔵王権現神社,神社,35.607566,139.731753
品川区,東品川二丁目,-,東京都品川区東品川2-12-11,三岳神社,神社,35.621445,139.751153
品川区,東五反田三丁目,-,東京都品川区東五反田3-6-20,袖ヶ崎神社,神社,35.630331,139.729059
品川区,東品川一丁目,-,東京都品川区東品川1丁目35-8,洌崎会館,神社,35.618194,139.745863
品川区,東大井一丁目,-,東京都品川区東大井1-20-10,鮫洲八幡神社,神社,35.604711,139.742670
品川区,東五反田一丁目,-,東京都品川区東五反田1丁目2-33,雉子神社,神社,35.628856,139.726765
品川区,東品川一丁目,-,東京都品川区東品川1-35-8,寄木神社,神社,35.618194,139.745863
品川区,南品川五丁目,-,東京都品川区南品川5-3-22,松下稲荷神社,神社,35.611436,139.740923
品川区,荏原六丁目,-,東京都品川区荏原6-2-13,葛原神社,神社,35.612743,139.702844
品川区,東大井二丁目,-,東京都品川区東大井2-9-15,稲荷神社,神社,35.601386,139.740878
品川区,南品川二丁目,-,東京都品川区南品川2-7-7,諏訪神社,神社,35.611249,139.744027
品川区,大井二丁目,-,東京都品川区大井2-16-14,稲荷神社,神社,35.604357,139.728470
品川区,大井五丁目,-,東京都品川区大井5-12-8,稲荷神社,神社,35.598767,139.728022
品川区,東品川一丁目,-,東京都品川区東品川1-7-17,利田神社,神社,35.620969,139.742504
品川区,南品川四丁目,-,東京都品川区南品川4-17-8,稲荷神社,神社,35.612728,139.740195
品川区,旗の台五丁目,-,東京都品川区旗の台5-15-2,旗の台伏見稲荷神社,神社,35.604675,139.699389
品川区,西五反田二丁目,-,東京都品川区西五反田2-24-9,五反田人和会,神社,35.625783,139.719171
品川区,大井六丁目,-,東京都品川区大井6丁目,鹿嶋神社,神社,35.595706,139.731354
品川区,南大井二丁目,-,東京都品川区南大井2丁目4-8,浜川神社,神社,35.592834,139.736972
