,,,,,,,,,,,2023年度,昨年
指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,,認可,644,603
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,,認証A,88,98
年次,2024/2/6取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,,認証B,11,12
URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,,認定こども園（幼保連携型）,7,7
備考,（2021年度：1073件、2022年度：1080件、2023年度：792件）,,,,,,,,,認定こども園（保育所型）,41,38
,,,,,,,,,,認定こども園（地方裁量型）,0,1
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点,,,
中央区,月島３丁目,-,中央区月島３－２６－１１　レジデンスシャルマン月島１階,35.661956,139.778907,月島雲母保育園,認可,60,令和5年10月1日時点,,,
中央区,月島１丁目,-,中央区月島４－３－１４,35.66359,139.781823,さくらさくみらい東仲通り,認可,70,令和5年10月1日時点,,,
中央区,月島４丁目,-,中央区月島４－４－１１,35.660878,139.783422,さくらさくみらい　月の岬,認可,65,令和5年10月1日時点,,,
中央区,月島１丁目,-,中央区月島４－５－８,35.66359,139.781823,月島聖ルカ保育園,認可,102,令和5年10月1日時点,,,
中央区,晴海１丁目,-,中央区晴海１－５－１５,35.659658,139.784443,晴海保育園,認可,107,令和5年10月1日時点,,,
中央区,晴海１丁目,-,中央区晴海１－８－２　晴海トリトンスクエア展示棟３階,35.657372,139.782781,太陽の子晴海トリトン保育園,認可,49,令和5年10月1日時点,,,
中央区,晴海２丁目,-,中央区晴海２－１－４０　晴海フロント２階,35.655903,139.784001,ポピンズナーサリースクール晴海,認可,96,令和5年10月1日時点,,,
中央区,晴海２丁目,-,中央区晴海２－４－３１,35.654909,139.78398,晴海こども園,認可,150,令和5年10月1日時点,,,
中央区,晴海２丁目,-,中央区晴海２－５－２４　晴海センタービル１階,35.655466,139.782861,さくらさくみらい晴海,認可,26,令和5年10月1日時点,,,
中央区,晴海３丁目,-,中央区晴海３－１０－１　Ｄａｉｗａ晴海ビル１Ｆ,35.654046,139.779226,アスク晴海３丁目保育園,認可,45,令和5年10月1日時点,,,
中央区,晴海３丁目,-,中央区晴海３－６－８　スカイリンクタワー２Ｆ,35.655784,139.778907,小学館アカデミー晴海保育園,認可,78,令和5年10月1日時点,,,
中央区,勝どき１丁目,-,中央区勝どき１－４－１,35.660312,139.777206,勝どき保育園,認可,143,令和5年10月1日時点,,,
中央区,勝どき１丁目,-,中央区勝どき１－８－１－３Ｆ,35.65962,139.776884,かちどき西保育園,認可,120,令和5年10月1日時点,,,
